title,ministry,schemeCategory,description,beneficiaryState,npiMinistry,slug,tags,__typename,eligibility,beneficiaries,benefits,documents_required,application_process,application_mode,state,department,eligibility_raw,beneficiaries_raw,benefits_raw,documents_required_raw,source_url,official_url,last_updated
Tripura Health Insuarance Scheme For Poor,,['Health & Wellness'],The Tripura Health Assurance Scheme for Poor (THASP) was instituted to provide financial assistance as cashless treatment with health coverage of up to Rs. 1.15 lakh per annum to individuals in the state who fall below the poverty line and have an annual income of less than Rs. 1.5 lakh.,,[],thasp,"['Health Insurance', 'Economically-weaker Sections', 'Cashless Medical Treatment', 'Critical Illnesses', None]",Search,,,as cashless treatment with health coverage of up to Rs.,,,,,,The Tripura Health Assurance Scheme for Poor (THASP) was instituted to provide financial assistance as cashless treatment with health coverage of up to Rs. 1.15 lakh per annum to individuals in the state who fall below the poverty line and have an annual income of less than Rs. 1.5 lakh.,,as cashless treatment with health coverage of up to Rs.,,https://www.india.gov.in/my-government/schemes/thasp,,
Mukhyamantri Arogya Artham Yojana,,['Health & Wellness'],Mukhyamantri Arogya Artham Yojana (MAAY) is a health insurance scheme launched by the government of Gujarat in India. The scheme was launched in September 2012 to provide financial assistance for medical treatment to families living below the poverty line in the state.,,[],maay,"['Arogya Artham', 'Health Insurance', 'Gujarat']",Search,,,for medical treatment to families living below the poverty line in the state.,,,,,,Mukhyamantri Arogya Artham Yojana (MAAY) is a health insurance scheme launched by the government of Gujarat in India. The scheme was launched in September 2012 to provide financial assistance for medical treatment to families living below the poverty line in the state.,,for medical treatment to families living below the poverty line in the state.,,https://www.india.gov.in/my-government/schemes/maay,,
Export Promotion Capital Goods Scheme,Ministry Of Commerce And Industry,['Business & Entrepreneurship'],"The objective of the EPCG Scheme is to facilitate import of capital goods for producing quality goods and services and enhance India’s manufacturing competitiveness. EPCG scheme allows import of capital goods for pre-production, production and post-production at zero customs duty.
",,[],epcg,[],Search,,,,,,Offline,,Ministry Of Commerce And Industry,"The objective of the EPCG Scheme is to facilitate import of capital goods for producing quality goods and services and enhance India’s manufacturing competitiveness. EPCG scheme allows import of capital goods for pre-production, production and post-production at zero customs duty.
",,,,https://www.india.gov.in/my-government/schemes/epcg,,
Babu Jagjivan Ram Chhatrawas Yojna,Ministry Of Social Justice and Empowerment,"['Housing & Shelter', 'Social welfare & Empowerment']","A centrally sponsored scheme for the construction of hostels for students belonging to Scheduled Castes (SC).  Under the scheme, central assistance is provided for construction of new hostel buildings, expansion of existing hostel facilities for SC students.",,[],bjrcy,"['Hostel Scheme For SC Students', 'Welfare Scheme']",Search,,,,,,,,Ministry Of Social Justice and Empowerment,"A centrally sponsored scheme for the construction of hostels for students belonging to Scheduled Castes (SC).  Under the scheme, central assistance is provided for construction of new hostel buildings, expansion of existing hostel facilities for SC students.",,,,https://www.india.gov.in/my-government/schemes/bjrcy,,
Atal Amrit Abhiyan Scheme,,"['Health & Wellness', 'Social welfare & Empowerment']",The scheme “Atal Amrit Abhiyan Scheme” is a unique Critical Care Health Assurance Scheme for the people of Assam launched by the Government of Assam to provide cashless treatment to the poor section of the population.,,[],aaas-assam,"['Patients', 'Hospital', 'Below Poverty Line', 'Cashless Treatment', 'Health']",Search,,,,,,,,,The scheme “Atal Amrit Abhiyan Scheme” is a unique Critical Care Health Assurance Scheme for the people of Assam launched by the Government of Assam to provide cashless treatment to the poor section of the population.,,,,https://www.india.gov.in/my-government/schemes/aaas-assam,,
"""Insurance Scheme For Artisans"" Component of the ""Development of Handicrafts"" Scheme",,"['Banking,Financial Services and Insurance']","Under the scheme ""Insurance Scheme For Artisans"", artisans are covered under Jana Shree Bima Yojana LIC or any other suitable policy. The premium amount, as stipulated in the insurance policy, is shared, with 50% from the Social Security Fund and the remaining 50% from the Government.",,[],isa,"['Insurance', 'Artisans', 'LIC', 'Death', 'Disability']",Search,,,,,,,,,"Under the scheme ""Insurance Scheme For Artisans"", artisans are covered under Jana Shree Bima Yojana LIC or any other suitable policy. The premium amount, as stipulated in the insurance policy, is shared, with 50% from the Social Security Fund and the remaining 50% from the Government.",,,,https://www.india.gov.in/my-government/schemes/isa,,
Rs 5 Lakh Insurance Cover To Farmers,,"['Agriculture,Rural & Environment', 'Banking,Financial Services and Insurance']","All the farmers in Telangana, who are aged between 18 and 60years, will get 5 lakh insurance coverage from 15 August 2018.",,[],farmer-insurance,"['Farmers', 'Insurance Coverage']",Search,,,,,,,,,"All the farmers in Telangana, who are aged between 18 and 60years, will get 5 lakh insurance coverage from 15 August 2018.",,,,https://www.india.gov.in/my-government/schemes/farmer-insurance,,
Production Linked Incentive Scheme (pli) For Promoting Telecom & Networking Products Manufacturing In India,Ministry Of Communication,"['Science, IT & Communications']","Production Linked Incentive (PLI) Scheme aims to boost domestic manufacturing, investments and export in the telecom and networking products The PLI Scheme will be implemented within the overall financial limits of ₹ 12,195 Crores only (Rupees Twelve Thousand One Hundred and Ninety-Five Crore only) ",,[],dot-pli-scheme,"['Production Linked Incentive Scheme', 'PLI', 'Telecom Equipments', 'Networking Products', 'Electronic Manufacturing', 'Make In India', None]",Search,,,,,,,,Ministry Of Communication,"Production Linked Incentive (PLI) Scheme aims to boost domestic manufacturing, investments and export in the telecom and networking products The PLI Scheme will be implemented within the overall financial limits of ₹ 12,195 Crores only (Rupees Twelve Thousand One Hundred and Ninety-Five Crore only) ",,,,https://www.india.gov.in/my-government/schemes/dot-pli-scheme,,
Krishak Bandhu Scheme,,"['Agriculture,Rural & Environment']",The scheme “Krishak Bandhu Scheme” is a flagship scheme of the government of West Bengal and was launched by the Department of Agriculture in 2019. The scheme caters to the farming community by means of assured continuous income and insurance coverage.,,[],kbs,"['Farmer', 'Financial Assistance', 'Agriculture', 'Income', 'Death']",Search,,,,,,,,,The scheme “Krishak Bandhu Scheme” is a flagship scheme of the government of West Bengal and was launched by the Department of Agriculture in 2019. The scheme caters to the farming community by means of assured continuous income and insurance coverage.,,,,https://www.india.gov.in/my-government/schemes/kbs,,
Disabled Wedding Incentive Scheme,,['Social welfare & Empowerment'],The objective of the scheme is to provide financial assistance for marriage with a view to social rehabilitation of persons with disabilities who do not fall under the category of income tax payers.,,[],dwis,"['Wedding', 'Marriage', 'PwD', 'Financial Assistance']",Search,,,for marriage with a view to social rehabilitation of persons with disabilities who do not fall under the category of income tax payers.,,,,,,The objective of the scheme is to provide financial assistance for marriage with a view to social rehabilitation of persons with disabilities who do not fall under the category of income tax payers.,,for marriage with a view to social rehabilitation of persons with disabilities who do not fall under the category of income tax payers.,,https://www.india.gov.in/my-government/schemes/dwis,,
